#  r        rhoC0     rhoC1      op        opX       covar  opfluct.c, temp=0.1, samp=200000, term=50000, N=640000
 0.025000  0.000000  0.000000  0.000000     0.000  0.000000
 0.024000  0.000000  0.000000  0.000000     0.000  0.000000
 0.023000  0.000000  0.000000  0.000000     0.000  0.000000
 0.022800  0.016299  0.016307 -0.000008     0.136  0.008047
 0.022700  0.028026  0.028035 -0.000009     0.232  0.013508
 0.022600  0.039130  0.039137 -0.000007     0.322  0.018421
 0.022500  0.046280  0.046277  0.000003     0.388  0.021452
 0.022400  0.054596  0.054603 -0.000006     0.457  0.024859
 0.022300  0.062784  0.062782  0.000002     0.529  0.028071
 0.022200  0.068685  0.068694 -0.000009     0.586  0.030307
 0.022000  0.080814  0.080790  0.000024     0.701  0.034673
 0.021800  0.091073  0.091083 -0.000010     0.791  0.038151
 0.006000  0.491100  0.490594  0.000506     45.44  0.013947
 0.005500  0.502053  0.501734  0.000320     51.71  0.007878
 0.005000  0.512728  0.512685  0.000043     66.99  0.001019
 0.004500  0.522302  0.523725 -0.001423    106.31 -0.006872
 0.004000  0.533224  0.532037  0.001188    160.37 -0.016046
 0.003500  0.539420  0.541514 -0.002094    276.54 -0.027184
 0.003000  0.545975  0.544808  0.001167   566.263 -0.041363
 0.002800  0.539500  0.552574 -0.013073    924.10 -0.048175
 0.002600  0.540856  0.549945 -0.009089   1561.00 -0.055900
 0.002400  0.597946  0.486950  0.110996   3015.61 -0.061974
 0.002300  0.511458  0.569269 -0.057812   6422.22 -0.068249
 0.002250  0.561909  0.515487  0.046423   14553.2 -0.070497
 0.002155  0.717409  0.349335  0.368075   9697.06 -0.044238
 0.002150  0.722526  0.343469  0.379057   11017.1 -0.042100
 0.002140  0.744416  0.319703  0.424713   2858.67 -0.034551
 0.002130  0.739467  0.324449  0.415019   5499.81 -0.036538
 0.002120  0.745156  0.317704  0.427451   5975.22 -0.034475
 0.002100  0.762490  0.298107  0.464383   1319.44 -0.028089
 0.002050  0.783650  0.272170  0.511480   479.531 -0.020071 
 0.002000  0.792839  0.259917  0.532922    387.89 -0.017320
 0.001900  0.808498  0.238801  0.569697    162.42 -0.013178
 0.001800  0.818612  0.223914  0.594698    166.56 -0.011432
 0.001700  0.828328  0.211281  0.617047    192.94 -0.010758
 0.001600  0.836873  0.198873  0.638000    178.38 -0.010437
 0.001500  0.844981  0.186790  0.658192    213.61 -0.009812
 0.001400  0.851564  0.178339  0.673225    238.56 -0.010834
 0.001200  0.863193  0.162336  0.700857    338.17 -0.013223
 0.001000  0.868755  0.154231  0.714525    652.46 -0.020327
 0.000900  0.869369  0.152651  0.716718    963.92 -0.025327
 0.000800  0.866691  0.155500  0.711191   1412.65 -0.033231
 0.000700  0.861997  0.160553  0.701444   3383.51 -0.044876
 0.000650  0.858321  0.164147  0.694174   3436.69 -0.051176
 0.000600  0.855832  0.166573  0.689259   3912.63 -0.058640
 0.000500  0.860161  0.159500  0.700661   9470.84 -0.072105
