#  r      rhoC0     rhoC1       XC0       XC1     avp0      avp1     covar  ch2lcov.c, temp=0.10, samp=30000, term=20000, N=90000
 0.0220  0.086560  0.086428     9.119     9.077  0.422619  0.423292  0.036625
 0.0215  0.102013  0.101892    16.023    15.821  0.498492  0.499110  0.041603
 0.0210  0.125008  0.125129     9.748     9.682  0.612521  0.611900  0.048135
 0.0205  0.147126  0.147149     9.532     9.975  0.720667  0.720546  0.053430
 0.0200  0.162656  0.162689     8.532     8.153  0.797179  0.797010  0.056546
 0.0195  0.177471  0.177524     7.573     7.721  0.870318  0.870047  0.059104
 0.0190  0.192479  0.192345     7.085     6.716  0.943437  0.944122  0.061214
 0.0185  0.207173  0.206989     6.467     6.462  1.015783  1.016721  0.062907
 0.0180  0.220680  0.220374     6.775     7.423  1.082010  1.083569  0.064043
 0.0175  0.234134  0.233828     6.744     7.035  1.148654  1.150210  0.064872
 0.0170  0.245636  0.245722     7.121     6.826  1.207730  1.207296  0.065267
 0.0165  0.260387  0.260260     6.739     6.599  1.279819  1.280464  0.065524
 0.0160  0.269949  0.269840     7.267     6.627  1.327604  1.328159  0.065370
 0.0155  0.282530  0.282611     7.033     6.966  1.391161  1.390749  0.064950
 0.0150  0.293115  0.293210     6.485     6.070  1.444067  1.443586  0.064389
 0.0145  0.305467  0.305382     6.415     6.233  1.504761  1.505197  0.063511
 0.0140  0.315854  0.315548     6.437     6.231  1.555630  1.557184  0.062497
 0.0135  0.326718  0.326486     6.571     7.250  1.610378  1.611554  0.061194
 0.0130  0.337721  0.337467     6.692     7.140  1.665385  1.666672  0.059811
 0.0125  0.348860  0.348974     5.893     6.414  1.723066  1.722489  0.057995
 0.0120  0.360084  0.359580     5.944     6.251  1.776295  1.778844  0.056139
 0.0115  0.370765  0.370734     6.451     6.520  1.832350  1.832506  0.053992
 0.0110  0.380400  0.381342     7.295     6.969  1.885788  1.881026  0.051871
 0.0105  0.392239  0.392051     7.255     7.075  1.939662  1.940613  0.049225
 0.0100  0.402374  0.401948     7.533     7.255  1.989620  1.991771  0.046632
 0.0095  0.413607  0.413627     8.309     7.257  2.048489  2.048386  0.043485
 0.0090  0.425974  0.423380     7.605     8.206  2.097732  2.110821  0.040263
 0.0085  0.436047  0.435500     8.989     7.689  2.158968  2.161727  0.036646
 0.0080  0.447140  0.445648     9.924     9.336  2.210356  2.217874  0.032837
 0.0075  0.457564  0.457106    11.964    10.538  2.268370  2.270677  0.028733
 0.0070  0.467584  0.470081    13.134    11.718  2.334038  2.321466  0.024281
 0.0065  0.479905  0.479305    11.766    11.717  2.380928  2.383950  0.019418
 0.0060  0.491931  0.489762    14.303    16.311  2.434050  2.444960  0.013985
 0.0055  0.502629  0.501022    18.239    19.088  2.491288  2.499367  0.007637
 0.0050  0.512070  0.514219    20.787    22.097  2.558291  2.547496  0.000806
 0.0045  0.523787  0.522657    32.017    34.090  2.601498  2.607173 -0.006434
 0.0040  0.540061  0.524494    56.919    54.106  2.611668  2.689817 -0.015864
 0.0035  0.542060  0.538518    92.650    91.513  2.683102  2.700875 -0.027355
 0.0030  0.583431  0.506807   194.471   223.225  2.525285  2.909554 -0.039853
